n,const_,sum_,prod_,direct_poly,horners_poly,bubblesort.sort,quicksort.sort,timsort.sort,matrix_mult
47,5.729999884351855e-07,2.2579599999517086e-05,2.1191599989833777e-05,1.2685000046985807e-05,1.178720003736089e-05,0.00019855999998981134,9.813579995352484e-05,9.842340004979633e-05,2.1669200032192747e-05
48,5.774000328528928e-07,2.2515999944516807e-05,2.0988800042687216e-05,1.3154399948689387e-05,1.216680007019022e-05,0.00020613080000657645,0.00010021339994636946,0.00010368360003667476,1.8782999950417435e-05
49,5.237999630480772e-07,2.2099799980423996e-05,2.1253599970805227e-05,1.3100999967718963e-05,1.2077399924237398e-05,0.00022116860000096495,0.0001040869999997085,0.0001087614000425674,2.09736000670091e-05
50,5.779999810329172e-07,2.2772000011173078e-05,2.102660000673495e-05,1.3318400033313082e-05,1.253819996236416e-05,0.00023017559997242642,0.00010500260000299023,0.00011116499990748707,2.151259996026056e-05
51,5.556000360229518e-07,2.2947800061956514e-05,2.116860005116905e-05,1.3668400015376392e-05,1.2849599988840054e-05,0.00023509020002165926,0.0001079176000530424,0.00011287100001027284,2.4061199928837597e-05
52,5.519999831449241e-07,2.2528599947690965e-05,2.1679799965568235e-05,1.3861599973097327e-05,1.2898600016342243e-05,0.00024218840003413787,0.0001104956000290258,0.00011480579996714368,2.24594000428624e-05
53,5.744000191043597e-07,2.247779998469923e-05,2.1159000016268693e-05,1.4342800068334326e-05,1.2947400000484776e-05,0.00025938240005416444,0.0001117703999625519,0.00012235200001669,2.4626999993415667e-05
54,5.935999524808722e-07,2.2835000027043862e-05,2.164980005545658e-05,1.4471400027105119e-05,1.3502599949788419e-05,0.00026005379995694964,0.00011534019995451672,0.00011982080000052519,2.5751799967110856e-05
55,5.345999852579553e-07,2.2700199951941614e-05,2.145840003322519e-05,1.474260002396477e-05,1.3362600020627724e-05,0.00027013160006390536,0.00011708119996001187,0.00012422400004652445,2.791619999698014e-05
56,5.330000021785963e-07,2.260559999740508e-05,2.1641600005750662e-05,1.4736999992237542e-05,1.3574399963545147e-05,0.00028379819996189327,0.00011935559996345546,0.00012975540007573728,2.4926000060077057e-05
57,5.80000005356851e-07,2.306520004822232e-05,2.3798000074748416e-05,1.5233599970088108e-05,1.3719800062972353e-05,0.00029144000000087545,0.00012122200000703742,0.00013043840003774677,2.796179996948922e-05
58,5.8940004237229e-07,2.441240003463463e-05,2.149299998563947e-05,1.5595400054735364e-05,1.4087799991102657e-05,0.00030638360003649724,0.0001236405999861745,0.0001357697999537777,2.90644000415341e-05
59,5.676000000676141e-07,2.324020001651661e-05,2.1442199931698268e-05,1.58424000346713e-05,1.4274799923441606e-05,0.00031229380006152495,0.00012849999998252316,0.00013637740003105136,3.342800000609714e-05
60,5.629999577649869e-07,2.2466799964604434e-05,2.1515599974009093e-05,1.597660002516932e-05,1.469539997742686e-05,0.00032745220000833796,0.0001285327999994479,0.00014452040004471202,3.0067400030020507e-05
61,5.720000444853212e-07,2.302079997207329e-05,2.1614000070258042e-05,1.6263600082311312e-05,1.4629799943577382e-05,0.00033571139993000544,0.00013079820005259534,0.0001465706000544742,3.296359996056708e-05
62,5.309999778546626e-07,2.2940000008020434e-05,2.160160001949407e-05,1.6434400004072812e-05,1.4713800010213162e-05,0.00034006280002358836,0.00013294979999045609,0.00014361420007844572,3.409420000934915e-05
63,5.520000286196591e-07,2.303800006302481e-05,2.1265999976094463e-05,1.6722800000934513e-05,1.5434399938385467e-05,0.00035550180000427646,0.0001369919999888225,0.00015104840003914432,3.761780003515014e-05
64,5.882000550627709e-07,2.320819999113155e-05,2.2232799983612496e-05,1.6888600021047752e-05,1.5229799964799895e-05,0.00037031000001661594,0.00013924200002293218,0.0001510009999947215,3.310940005576413e-05
65,5.355999746825546e-07,2.323520002391888e-05,2.1969200042804003e-05,1.7201800028487922e-05,1.5375400016637288e-05,0.0003873489999477897,0.0001408227999945666,0.00015054980003696982,7.243099998959224e-05
66,1.1251999694650294e-06,5.047420004302694e-05,4.756820003422035e-05,4.654159997699026e-05,4.1959800000768155e-05,0.0011302258000341681,0.00038945040000726294,0.0004159251999681146,4.4092599955547486e-05
67,1.0870000551221892e-06,4.955540002811176e-05,4.700260005847667e-05,4.7215600079653083e-05,4.235499995957071e-05,0.0011756434000290028,0.0003907800000433781,0.00041661019999992275,4.403180000736029e-05
68,1.045400040311506e-06,4.9237800021728616e-05,4.889480001111224e-05,4.789020003954647e-05,4.261499998392537e-05,0.0011822211999060529,0.0003967104000821564,0.00043228100007581817,4.8228600053334955e-05
69,1.115200029744301e-06,4.965399998582143e-05,4.836979996980517e-05,4.874480005128135e-05,4.35938000009628e-05,0.0012566090000291296,0.00040577099994152375,0.00043273839996800235,4.476559997783625e-05
70,1.1674000234052072e-06,4.9387600029149326e-05,4.750079997393186e-05,5.005659995731549e-05,4.448999998203362e-05,0.0012761823999881017,0.0004104727999674651,0.00045202179999250804,0.0016504747999988468
71,1.1614000413828763e-06,5.0728199948935074e-05,6.789339990973531e-05,5.041680001340865e-05,4.4972399928155936e-05,0.0013993996000408516,0.0004108262000045215,0.0004301888000100007,0.0009303179999733402
72,1.2621999758266611e-06,5.072759995528031e-05,4.8391800009994765e-05,5.074479995528236e-05,3.910980003638542e-05,0.0013453624000248966,0.000424579199989239,0.0004514977999861003,4.390799999782757e-05
73,1.117999954658444e-06,4.9632399941401674e-05,4.7875200061753274e-05,5.419559997790202e-05,4.597380006998719e-05,0.0013698099999601254,0.00042977340003744755,0.00045734020000054443,4.817419999199046e-05
74,1.1787999483203748e-06,5.0645599958443197e-05,4.915660001643118e-05,4.051900000376918e-05,4.948040000272158e-05,0.0014380362000338208,0.0004365925999991305,0.0004908744000204024,0.00023826219994589338
75,1.1069999800383813e-06,5.0571599967952355e-05,4.844500003855501e-05,5.2495199906843484e-05,4.671340002460056e-05,0.001442117199940185,0.0004429430000072898,0.00046250420000433224,4.7206600038407486e-05
76,1.019000046653673e-06,5.1360399993427563e-05,4.884179998043692e-05,5.3593400025420124e-05,4.7413999982381935e-05,0.0015072384000177409,0.0004500514000937983,0.0005056863999925553,4.6230800035118594e-05
77,1.1240000276302454e-06,5.02157999562769e-05,4.86264000301162e-05,5.448260008051875e-05,4.8139799991986366e-05,0.0015449106000232859,0.00045720440002696707,0.00048875960001169,4.8098000024765494e-05
78,1.2488000720622949e-06,5.0966400021934535e-05,4.8115000026882626e-05,5.586440006482008e-05,4.875540003013157e-05,0.0015625010000348994,0.00046103999998194924,0.0005070971999884932,4.881700001533318e-05
79,1.0601999747450463e-06,5.142079994584492e-05,4.898679994767008e-05,5.5504400006611834e-05,4.957139994985482e-05,0.0016155254000295826,0.00046849119989929023,0.0005160839999916788,4.9135400013256e-05
80,1.053199957823381e-06,5.0439200003893346e-05,5.16050000442192e-05,5.617720007649041e-05,4.931799999212672e-05,0.0016907799999898998,0.0004774758000621659,0.000538793399982751,4.782340001838747e-05
81,1.1509999694681029e-06,5.154999998921994e-05,4.870799998570874e-05,5.7028800074476746e-05,4.9914800001715776e-05,0.0016786391999630724,0.00048297899998033244,0.0005225593999966804,5.6824200009941704e-05
82,1.0735999694588826e-06,5.159780012036208e-05,4.976280001756095e-05,5.796359996566025e-05,5.048579996582703e-05,0.0017246919999706733,0.0004965996000009909,0.0005614472000615933,5.14429999384447e-05
83,1.1264000022492836e-06,5.291960001159168e-05,4.925539992655104e-05,6.055859998923552e-05,5.1690000100279575e-05,0.0017886946000089665,0.0004970082000454567,0.0005526585999177768,0.0002590390000023035
84,1.1710000308085e-06,5.2391599956536085e-05,5.014279995521065e-05,5.897700002606143e-05,5.2011600018886384e-05,0.0018543272001352307,0.0005040672000632185,0.0005842377999670135,5.399120000220137e-05
85,1.1406000339775346e-06,5.170179997548985e-05,5.003140004191664e-05,5.9511400013434465e-05,5.183180001040455e-05,0.0018795531999785454,0.0005095408000670432,0.0005690314000275975,5.4198399993765634e-05
86,1.2108000191801693e-06,5.53570000192849e-05,5.161320000297564e-05,5.9725399978560745e-05,5.248439993010834e-05,0.0019506709999859595,0.0005170076000467816,0.0006007861999933084,4.989759995623899e-05
87,1.0720000318542589e-06,5.2191000077073116e-05,5.1842400034729506e-05,6.136359993433871e-05,5.283860000417917e-05,0.0019833522000226368,0.0005203597999752674,0.000573969999959445,4.96246000238898e-05
88,1.0565999673417536e-06,5.180119997021393e-05,5.047820004620007e-05,6.19396000274719e-05,5.368420006561792e-05,0.002024152600097295,0.0005278780000480765,0.0006099036000250635,4.799899998033652e-05
89,1.2168000012025004e-06,5.1739599985012316e-05,5.093960003250686e-05,6.23901999915688e-05,5.4428799921879543e-05,0.0020475597999848106,0.0005411649999587098,0.000602270600029442,5.124360000081651e-05
90,1.095200059353374e-06,5.2288000006228685e-05,5.146059993421659e-05,6.32459999906132e-05,5.441000002974761e-05,0.0021112251999966247,0.0005416083999989496,0.000637456000004022,5.219280005803739e-05
91,1.1443999937910122e-06,5.3044000014779155e-05,5.077340006209852e-05,6.373779992827622e-05,5.494179999914195e-05,0.002172411599985935,0.0005480873999658797,0.0006226045999937924,5.330240001057973e-05
92,1.2356000297586434e-06,5.227679998824897e-05,5.064619995209796e-05,6.437159995584807e-05,5.549879992940987e-05,0.002183463000028496,0.0005527882000023965,0.0006531268000344425,5.168919992684096e-05
93,1.011400036077248e-06,5.315480002536788e-05,5.199659999561845e-05,6.460880003942294e-05,5.737460001000727e-05,0.0022710203999849908,0.0005605282000033185,0.0006533132000186015,5.3600999990521814e-05
94,1.0687999292713357e-06,5.3215800016914726e-05,5.1159400027245286e-05,6.505860001198016e-05,5.687400007445831e-05,0.0023156574000040564,0.0005660036000335822,0.0006785596000099759,5.223579996709305e-05
95,1.1478000033093849e-06,5.288379998091841e-05,5.078559997855337e-05,6.585619994439184e-05,5.71155999750772e-05,0.0024659197999881144,0.0005758623999554402,0.0006816215999151609,5.6419600014123716e-05
96,1.0618000032991403e-06,5.2788199991482546e-05,5.255159994703718e-05,6.74070000059146e-05,5.775399995400221e-05,0.0024138774000675768,0.0005807943999570853,0.0007134755999686603,5.379360004553746e-05
97,1.345999999102787e-06,5.350159999579773e-05,5.2091199950154984e-05,6.753299999218143e-05,5.903139999645646e-05,0.0024419837999630546,0.0005870359999789798,0.0006808122000620642,0.00043677460002982115
98,1.1327999345667194e-06,5.420480001703254e-05,5.133859999659762e-05,6.802359998800967e-05,6.03471999966132e-05,0.002504233399986333,0.0005952596000042831,0.0007143287999952008,7.368080000560439e-05
99,1.1387999620637857e-06,5.449439995572902e-05,5.1682999946933704e-05,6.949040002837136e-05,5.923019994042988e-05,0.0025403554000149597,0.0005993797999508388,0.0006984359999933076,7.652899998902284e-05
100,1.1672000255202875e-06,5.435920006675587e-05,5.310579999786569e-05,6.940040002518799e-05,5.990519998704258e-05,0.002708771000061461,0.0006077882000226964,0.0007514317999266495,7.829780001884501e-05
101,1.2443999821698526e-06,5.885840000701137e-05,5.289280011311348e-05,7.013819995336235e-05,6.103580003582464e-05,0.002691719199947329,0.0006145117999039939,0.0007215235999865399,7.787920003465842e-05
102,1.2530000276456122e-06,5.471640006362577e-05,5.3000800016889114e-05,7.072400003380608e-05,6.0732799965990125e-05,0.002685698799996317,0.000625720799962437,0.0007466091999958735,8.182999999917229e-05
103,1.2431999493855983e-06,5.5496799996035405e-05,5.322679999153479e-05,7.092000000739063e-05,6.086179996600549e-05,0.0027383759999793254,0.0006274166000366677,0.0007475092000277072,8.309759996336653e-05
104,1.2990000413992674e-06,5.4240400004346156e-05,5.2401600078155754e-05,7.185879999269674e-05,6.197700004122453e-05,0.002921898200020223,0.0006541580000430259,0.0007968964000156121,8.234440001615439e-05
105,1.4029999874765054e-06,5.447259995889908e-05,5.256139997982246e-05,7.39525999961188e-05,6.304960006673355e-05,0.0028623178000088956,0.0006434643999455147,0.0007677593999233067,8.470520001537806e-05
106,1.28720002976479e-06,5.595539996647858e-05,5.3859199942962734e-05,7.31124000139971e-05,6.370400001287635e-05,0.0021814203999838354,0.00046379280001929146,0.0005697262000012415,0.000516743799971664
107,1.493600029789377e-06,7.212419995994424e-05,5.413859989857883e-05,7.425399999192451e-05,6.414720000975649e-05,0.0029838679999556915,0.0006532981999953335,0.0007925149999664427,0.00011177320002389023
108,1.2320000223553508e-06,5.578840000453056e-05,5.4347799914467035e-05,8.539359996575512e-05,9.38370000312716e-05,0.003955280400032279,0.0006619131999741513,0.0009662887999184022,0.00011073320006289577
109,1.4618000477639725e-06,5.572880004365288e-05,5.329800005711149e-05,7.512080001106369e-05,6.479880003098514e-05,0.0032262043999253366,0.0006713522000154626,0.0007954479999625619,0.00011290020001979429
110,1.1939999694732251e-06,5.7379200097784636e-05,5.589020001934841e-05,7.620960004715017e-05,6.519220000882342e-05,0.0031856256000082793,0.0006772102000013547,0.0008276902000488917,0.00011428359994170023
111,1.2968000191904138e-06,5.655500003740599e-05,5.3963000027579255e-05,7.625020002706151e-05,6.590459997823928e-05,0.0034334722000494366,0.0006840644000021712,0.0008200632000807673,9.137280003415071e-05
112,1.239199991687201e-06,5.5743399934726766e-05,5.443020004349819e-05,7.685319997108309e-05,6.686459996672057e-05,0.003274964800039015,0.0006890986001053534,0.000862339600098494,8.859459999257523e-05
113,1.2303999938012567e-06,5.5525400011902096e-05,5.382520002967794e-05,7.786980004311772e-05,6.745999999111519e-05,0.0033325084000807694,0.0006934277999789629,0.0008377877999919292,8.691579996593646e-05
114,1.401800000166986e-06,5.936020006629406e-05,5.613800003629876e-05,7.839700001568417e-05,6.769159999748808e-05,0.00351928000004591,0.0007081526000092709,0.0008832723999603331,8.749119992899069e-05
115,1.3402000149653759e-06,5.6660200061742214e-05,5.470779997267528e-05,7.90943999618321e-05,6.814440007474332e-05,0.003428168799973719,0.0007321262000004935,0.0008800839999821619,9.012260002236872e-05
116,1.0850000307982554e-06,5.718359998354572e-05,5.526459995053301e-05,8.004540000001725e-05,6.908859995746752e-05,0.0037426240000513642,0.0007355398000072455,0.0009261925999453525,9.697860004962422e-05
117,1.3982000382384285e-06,5.986920000395912e-05,5.451419992823503e-05,8.037480006350961e-05,7.02454000020225e-05,0.0038494912000714976,0.000726842799986116,0.0009547608000502805,9.254279998458515e-05
118,1.1129999620607122e-06,5.8422599977348e-05,5.486739996740653e-05,8.138440002767311e-05,6.982479999351199e-05,0.003769952199945692,0.0007298558000002231,0.0009238100000402482,9.741179992488469e-05
119,1.2039999091939534e-06,5.721980000998883e-05,5.551440003728203e-05,8.222399997066532e-05,7.05522000316705e-05,0.003872588000012911,0.0007336806000239448,0.0009183366000343085,9.922599997480575e-05
120,1.107400021282956e-06,5.721920001633407e-05,5.5462200043621125e-05,8.25218000500172e-05,7.137499997043051e-05,0.0038047743999868543,0.0007421603999318904,0.0009804008000628528,9.12166000034631e-05
121,1.4654000096925302e-06,5.668639996656566e-05,5.5855000027804635e-05,8.365959993170691e-05,7.144880005398591e-05,0.003974380600038785,0.0007513209999615355,0.0009465618000376707,9.348099997623649e-05
122,1.3786000636173413e-06,5.691559999831952e-05,5.503039997165615e-05,8.533240002179809e-05,7.16625999302778e-05,0.0029906083999776457,0.0007544459999735409,0.000983438599951114,9.598799993000284e-05
123,1.1819999599538277e-06,5.8863000003839264e-05,5.605160004051868e-05,8.386120007344288e-05,7.228660001601384e-05,0.003989428399972894,0.000760890399942582,0.0009534064000035869,9.73694000094838e-05
124,1.1403999906178797e-06,5.7630000037534045e-05,5.5961599991860565e-05,8.59548000335053e-05,7.292539999070868e-05,0.004009646800068367,0.0007684340000196244,0.0010006718000113324,0.0001017643999603024
125,1.2004000382148661e-06,5.7460000016362754e-05,5.580020010711451e-05,8.64516000092408e-05,7.348680001086904e-05,0.004226307600038126,0.0007785210000292864,0.0009821341999213472,0.00010342239997953583
126,1.327600011791219e-06,5.8301799936089085e-05,5.6082599985529666e-05,8.637600003567059e-05,7.496439993701643e-05,0.0042004374000043756,0.0007821700000931742,0.0010274430000663415,0.00010435280000820057
127,1.2353999863989883e-06,5.7556000047043196e-05,5.6333199972868896e-05,8.837259997562796e-05,7.451040000887588e-05,0.004332162999980937,0.0007947767999667121,0.0010587497999949846,0.00011062399998991168
128,1.264000002265675e-06,5.923979997533024e-05,6.279940002968942e-05,9.05999999758933e-05,7.578240001748782e-05,0.004534350600033576,0.0008053619999827788,0.0010549933999755012,0.00010821780001606385
129,1.2140000308136222e-06,6.045579993951833e-05,5.696300004274235e-05,9.258839995709422e-05,7.689240001127474e-05,0.004506591199969989,0.0008048375999351265,0.0009300214000631968,0.00010313920001863153
130,1.5152000287343981e-06,6.174000000100933e-05,5.798900001536822e-05,9.14345999717625e-05,7.724179995420855e-05,0.004601950599999327,0.0008135304000006727,0.0009373596000386897,0.00010473639999872831
131,1.2891999176645186e-06,5.9527599978537184e-05,5.805279997730395e-05,9.068479994311929e-05,7.68232000154967e-05,0.0046622778000255495,0.0008213591999719938,0.0009550970000418602,0.00010549759999776143
132,1.1001999610016354e-06,5.913400000281399e-05,5.906800001866941e-05,9.064059991032991e-05,7.699239999965357e-05,0.004537476800032891,0.0008271463999790285,0.0010048657999959687,0.00010757559998637589
133,1.2303999483265216e-06,6.1203800032672e-05,5.7853000089380655e-05,9.31461999698513e-05,7.82342000547942e-05,0.004700991200024873,0.0008323924000251282,0.0009622835999834933,0.00011289900003248476
134,1.2047999916831032e-06,6.048280001778039e-05,5.937139994784957e-05,9.204040002259717e-05,7.828000011613767e-05,0.0046728054000141125,0.0008392665999508609,0.0009731265999562311,0.00011327860001983936
135,1.2830000741814729e-06,6.112419996497919e-05,5.9379599997555486e-05,9.273320001739194e-05,7.921859996713465e-05,0.004873977999977797,0.0008496698000271863,0.0009946936000233108,0.00012114179999116459
136,1.3075999504508219e-06,6.0998000026302177e-05,5.926780008849164e-05,9.311160001743702e-05,7.959539993862563e-05,0.004735978799953955,0.0008564363999994384,0.0010599069999898346,0.00010852719997274107
137,1.172400016002939e-06,6.073599997762358e-05,6.0049200010325875e-05,9.418260005986668e-05,8.018539997465269e-05,0.004968529000007038,0.0008594481999807613,0.0010168111999973918,0.0001114939999752096
