method,approx_func,loss,a,b,iterations
gd,linear,106.84247342060063,0.7985087018826329,0.8822140077239944,767
gd,rational,106.70589056497575,0.9471606791223416,-0.47046914636003834,226
conj_gd,linear,106.84247342012695,0.798515974238573,0.8822101102740887,6
conj_gd,rational,106.70589056481741,0.9471587491604615,-0.47047074939108946,23
newton,linear,106.84247342012695,0.7985159742385728,0.8822101102740889,6
newton,rational,106.7058905648049,0.9471588838358012,-0.47047086496239315,16
lm,linear,106.84247342012694,0.7985159742385729,0.8822101102740887,2
lm,rational,106.70589058140196,0.9471424180990506,-0.470489198750939,7
